,date,h_team,h_wins,h_gm_pnt,h_def_avrg,h_off_avrg,h_slr,h_shape,v_team,v_wins,v_gm_pnt,v_def_avrg,v_off_avrg,v_slr,v_shape,difference,total_points,datetime,h_win,v_win,v_offavrg,h_sal2018,h_sal2019,h_sal2020,h_sal2021,h_sal2022,days_bfr_lst_gm,h_gms_in_row,h_lst_gm_out,h_lst_gm_in,h_d_lst_gm,v_sal2018,v_sal2019,v_sal2020,v_sal2021,v_sal2022,v_gms_in_row,v_lst_gm_out,v_lst_gm_in,v_d_lst_gm,h_t_score,v_t_score,target_flag,d_name,d_gravity
1108,Mar 27 2018,Hou,,,95,113,,,Chi,,,113,,,,32,204,2018-03-27,30.0,0.0,97.0,138980782.0,143720533.0,111191903.0,106725365.0,66581698.0,2.0,7.0,0.0,1.0,3.0,107492797.0,82781954.0,41652808.0,30439486.0,,0.0,1.0,0.0,3.0,118,86,1.0,Mar,3
1109,Mar 27 2018,LAC,,,114,111,,,Mil,,,111,,,,7,203,2018-03-27,20.0,0.0,115.0,121323279.0,61921470.0,9378840.0,10836448.0,,2.0,8.0,1.0,0.0,2.0,122225604.0,96722138.0,59664648.0,6541377.0,,5.0,0.0,1.0,2.0,105,98,1.0,Mar,3
1110,Mar 27 2018,Mia,,,109,125,,,Cle,,,111,,,,19,177,2018-03-27,22.0,0.0,116.0,163014077.0,120223097.0,57160922.0,11600000.0,,2.0,4.0,1.0,0.0,2.0,121115723.0,112010533.0,40164095.0,37649671.0,28900000.0,17.0,1.0,0.0,2.0,98,79,0.0,Mar,3
1111,Mar 27 2018,New,,,110,115,,,Por,,,103,,,,-4,210,2018-03-27,23.0,0.0,111.0,118494305.0,93866257.0,54882886.0,27020000.0,,3.0,0.0,1.0,0.0,2.0,135611102.0,125694465.0,90726822.0,18783247.0,2844429.0,2.0,1.0,0.0,2.0,103,107,1.0,Mar,3
1112,Mar 27 2018,Sac,,,101,96,,,Dal,,,113,,,,-6,200,2018-03-27,14.0,0.0,105.0,94381652.0,50265102.0,33219427.0,11312114.0,,2.0,1.0,0.0,1.0,3.0,108714749.0,51786163.0,17063759.0,13778505.0,,0.0,0.0,1.0,3.0,97,103,1.0,Mar,3
1113,Mar 27 2018,Tor,,,115,111,,,Den,,,114,,,,4,224,2018-03-27,30.0,0.0,110.0,147882143.0,131577599.0,14738167.0,11615328.0,,2.0,16.0,0.0,1.0,1.0,121500826.0,128106283.0,69254237.0,105817038.0,,1.0,1.0,0.0,1.0,114,110,1.0,Mar,3
1114,Mar 27 2018,Was,,,103,100,,,San,,,106,,,,10,222,2018-03-27,20.0,0.0,99.0,140663747.0,116416976.0,101437854.0,49018564.0,46872000.0,2.0,3.0,0.0,1.0,2.0,126654665.0,108674881.0,71433973.0,4447896.0,,10.0,1.0,0.0,2.0,116,106,1.0,Mar,3
1115,Mar 28 2018,Cha,,,112,132,,,Cle,,,104,,,,-13,223,2018-03-28,21.0,0.0,97.0,123651437.0,102564284.0,53490032.0,5421493.0,,2.0,8.0,0.0,1.0,1.0,121115723.0,112010533.0,40164095.0,37649671.0,28900000.0,18.0,1.0,0.0,1.0,105,118,1.0,Mar,3
1116,Mar 28 2018,LAL,,,98,102,,,Dal,,,104,,,,10,196,2018-03-28,19.0,0.0,103.0,106225301.0,67464656.0,69241015.0,48154193.0,,2.0,3.0,1.0,0.0,1.0,108714749.0,51786163.0,17063759.0,13778505.0,,1.0,1.0,0.0,1.0,103,93,1.0,Mar,3
1117,Mar 28 2018,Mem,,,101,96,,,Por,,,102,,,,5,211,2018-03-28,14.0,0.0,108.0,126908283.0,104323670.0,51726006.0,19117710.0,,2.0,7.0,1.0,0.0,1.0,135611102.0,125694465.0,90726822.0,18783247.0,2844429.0,3.0,1.0,0.0,1.0,108,103,1.0,Mar,3
1118,Mar 28 2018,Min,,,106,105,,,Atl,,,111,,,,12,240,2018-03-28,27.0,0.0,96.0,130182727.0,118929183.0,85789727.0,67007904.0,67120000.0,2.0,3.0,0.0,1.0,3.0,110397223.0,55509270.0,15459302.0,16168673.0,,0.0,1.0,0.0,3.0,126,114,1.0,Mar,3
1119,Mar 28 2018,Orl,,,102,99,,,Bro,,,116,,,,-7,215,2018-03-28,15.0,0.0,113.0,114474238.0,83070242.0,50970295.0,23977833.0,,4.0,0.0,0.0,1.0,3.0,119313396.0,43748839.0,7692854.0,5476122.0,,0.0,0.0,1.0,3.0,104,111,1.0,Mar,3
1120,Mar 28 2018,Phi,,,104,119,,,NYK,,,121,,,,17,219,2018-03-28,26.0,0.0,114.0,108398265.0,68697865.0,64444019.0,54814669.0,33330000.0,2.0,5.0,0.0,1.0,2.0,112031013.0,70202797.0,31404119.0,7648035.0,,10.0,1.0,0.0,2.0,118,101,1.0,Mar,3
1121,Mar 28 2018,Pho,,,110,96,,,LAC,,,109,,,,-12,210,2018-03-28,10.0,0.0,113.0,105272351.0,84792143.0,66151303.0,64292732.0,33790000.0,2.0,3.0,0.0,1.0,1.0,121323279.0,61921470.0,9378840.0,10836448.0,,9.0,0.0,1.0,1.0,99,111,1.0,Mar,3
1122,Mar 28 2018,Uta,,,94,100,,,Bos,,,95,,,,-3,191,2018-03-28,24.0,0.0,101.0,119635923.0,86869903.0,60055356.0,4054695.0,,3.0,0.0,1.0,0.0,2.0,129941417.0,124879403.0,66188206.0,18094118.0,92857.0,3.0,1.0,0.0,2.0,94,97,1.0,Mar,3
1123,Mar 29 2018,Det,,,100,111,,,Was,,,108,,,,11,195,2018-03-29,23.0,0.0,102.0,128257882.0,114677324.0,73949319.0,38957028.0,,3.0,0.0,0.0,1.0,2.0,140663747.0,116416976.0,101437854.0,49018564.0,46872000.0,4.0,0.0,1.0,2.0,103,92,1.0,Mar,3
1124,Mar 29 2018,Gol,,,97,88,,,Mil,,,107,,,,-9,223,2018-03-29,29.0,0.0,106.0,150401657.0,119379318.0,45023682.0,49422229.0,,2.0,3.0,0.0,1.0,2.0,122225604.0,96722138.0,59664648.0,6541377.0,,6.0,1.0,0.0,2.0,107,116,1.0,Mar,3
