,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
0,0.0,0.0,-8825694.0,0.0,0.0,3,201,0.0
1,0.0,0.0,11420875.0,0.0,0.0,-1,243,1.0
2,0.0,0.0,7715813.0,0.0,0.0,-8,208,0.0
3,0.0,0.0,-1682474.0,0.0,0.0,-6,228,1.0
4,0.0,0.0,4606445.0,0.0,0.0,12,192,0.0
5,0.0,0.0,-9533077.0,0.0,0.0,9,271,1.0
6,0.0,0.0,8413978.0,0.0,0.0,12,194,0.0
7,0.0,0.0,-48539839.0,0.0,0.0,7,225,1.0
8,0.0,0.0,-30338751.0,0.0,0.0,-48,200,0.0
9,121.0,122.0,-44599130.0,0.0,0.0,-5,205,0.0
10,0.0,0.0,-3528062.0,0.0,0.0,8,206,0.0
11,0.0,0.0,-1864903.0,0.0,0.0,10,202,0.0
12,0.0,0.0,32265482.0,0.0,0.0,5,235,1.0
13,0.0,0.0,-15097978.0,0.0,0.0,-16,200,0.0
14,0.0,0.0,35271301.0,0.0,0.0,21,189,0.0
15,0.0,0.0,40389346.0,0.0,0.0,17,217,0.0
16,0.0,0.0,4839158.0,-1.0,0.0,5,247,1.0
17,111.0,117.0,13254214.0,0.0,0.0,18,200,0.0
18,117.0,111.0,14333097.0,0.0,0.0,-5,181,0.0
19,207.0,264.0,-25830783.0,1.0,0.0,-18,210,0.0
20,0.0,0.0,1109881.0,-1.0,1.0,-19,213,0.0
21,0.0,0.0,10546804.0,-1.0,0.0,3,197,0.0
22,0.0,0.0,-31907352.0,0.0,0.0,-8,248,1.0
23,102.0,99.0,-21543152.0,0.0,0.0,-10,194,0.0
24,124.0,76.0,-952950.0,0.0,0.0,-2,262,1.0
25,115.0,120.0,12405865.0,0.0,0.0,4,226,1.0
26,0.0,0.0,-19161868.0,-1.0,0.0,-10,164,0.0
27,225.0,223.0,6641485.0,0.0,1.0,-21,207,0.0
28,88.0,93.0,27119174.0,0.0,0.0,17,175,0.0
29,0.0,0.0,30266033.0,0.0,2.0,16,198,0.0
30,0.0,0.0,16050928.0,0.0,1.0,42,218,0.0
31,211.0,231.0,-23493374.0,1.0,0.0,10,212,0.0
32,0.0,0.0,53233758.0,-1.0,0.0,4,220,0.0
33,202.0,216.0,-13385498.0,0.0,1.0,3,223,1.0
34,115.0,111.0,-16226869.0,-1.0,0.0,-4,218,0.0
35,220.0,232.0,39483878.0,1.0,0.0,34,222,1.0
36,96.0,106.0,-27666391.0,0.0,0.0,9,183,0.0
37,230.0,229.0,8916173.0,1.0,0.0,12,220,0.0
38,211.0,183.0,-12269004.0,0.0,1.0,-7,231,1.0
39,191.0,204.0,17119587.0,0.0,0.0,-2,228,1.0
40,219.0,213.0,-41686908.0,0.0,0.0,-30,236,1.0
41,79.0,96.0,-19162921.0,-1.0,0.0,-5,213,0.0
42,214.0,206.0,19859617.0,1.0,1.0,-11,183,0.0
43,91.0,107.0,12072499.0,-1.0,2.0,-8,188,0.0
44,220.0,215.0,52616854.0,1.0,0.0,11,197,0.0
45,215.0,194.0,-1425833.0,0.0,1.0,9,197,0.0
46,220.0,188.0,10890699.0,0.0,0.0,2,232,1.0
47,99.0,107.0,-21227478.0,-1.0,1.0,4,198,0.0
48,213.0,184.0,17910404.0,0.0,1.0,21,199,0.0
49,223.0,197.0,13622926.0,1.0,1.0,7,231,1.0
50,188.0,227.0,1687356.0,-1.0,1.0,18,186,0.0
51,209.0,208.0,20402408.0,0.0,1.0,-23,237,1.0
52,249.0,247.0,-4839158.0,-1.0,1.0,4,246,1.0
53,107.0,104.0,17116797.0,0.0,2.0,10,196,0.0
54,209.0,237.0,-1802327.0,0.0,0.0,5,219,0.0
55,197.0,205.0,2150611.0,0.0,0.0,17,203,0.0
56,208.0,198.0,-18193534.0,-2.0,0.0,9,197,0.0
57,202.0,200.0,-1924845.0,0.0,1.0,21,223,1.0
58,223.0,218.0,2519514.0,-2.0,2.0,5,229,1.0
59,217.0,211.0,-34438446.0,-2.0,1.0,3,201,0.0
60,177.0,195.0,36359412.0,0.0,0.0,-17,217,0.0
61,208.0,227.0,37521995.0,0.0,0.0,18,210,0.0
