Rk,Team,sal2018,sal2019,sal2020,sal2021,sal2022,sal2023
1,Miami Heat,163014077,120223097,57160922,11600000,,
2,Golden State Warriors,150401657,119379318,45023682,49422229,,
3,Toronto Raptors,147882143,131577599,14738167,11615328,,
4,Oklahoma City Thunder,147302314,149352562,137190679,82742468,47661200,
5,Washington Wizards,140663747,116416976,101437854,49018564,46872000,
6,Houston Rockets,138980782,143720533,111191903,106725365,66581698,
7,Portland Trail Blazers,135611102,125694465,90726822,18783247,2844429,2844429
8,Minnesota Timberwolves,130182727,118929183,85789727,67007904,67120000,35670000
9,Boston Celtics,129941417,124879403,66188206,18094118,92857,92857
10,Detroit Pistons,128257882,114677324,73949319,38957028,,
11,Memphis Grizzlies,126908283,104323670,51726006,19117710,,
12,San Antonio Spurs,126654665,108674881,71433973,4447896,,
13,Charlotte Hornets,123651437,102564284,53490032,5421493,,
14,Milwaukee Bucks,122225604,96722138,59664648,6541377,,
15,Denver Nuggets,121500826,128106283,69254237,105817038,,
16,LAC,121323279,61921470,9378840,10836448,,
17,Cleveland Cavaliers,121115723,112010533,40164095,37649671,28900000,
18,Utah Jazz,119635923,86869903,60055356,4054695,,
19,Brooklyn Nets,119313396,43748839,7692854,5476122,,
20,New Orleans Pelicans,118494305,93866257,54882886,27020000,,
21,Orlando Magic,114474238,83070242,50970295,23977833,,
22,NYK,112031013,70202797,31404119,7648035,,
23,Atlanta Hawks,110397223,55509270,15459302,16168673,,
24,Indiana Pacers,109780319,42196141,37251198,6225951,,
25,Dallas Mavericks,108714749,51786163,17063759,13778505,,
26,Philadelphia 76ers,108398265,68697865,64444019,54814669,33330000,
27,Chicago Bulls,107492797,82781954,41652808,30439486,,
28,LAL,106225301,67464656,69241015,48154193,,
29,Phoenix Suns,105272351,84792143,66151303,64292732,33790000,35920000
30,Sacramento Kings,94381652,50265102,33219427,11312114,,
